IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,71 ms,9146 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,234 ms,8880 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,227 ms,8880 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,243 ms,8861 kB/s
8.219.63.193,2087,true,SIN,Asia Pacific,Singapore,226 ms,8812 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,239 ms,8809 kB/s
170.114.46.47,443,true,SJC,North America,San Jose,172 ms,8800 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,226 ms,8742 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,260 ms,8738 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,237 ms,8732 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,72 ms,8728 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,225 ms,8718 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,233 ms,8701 kB/s
8.222.248.188,2053,true,SIN,Asia Pacific,Singapore,230 ms,8689 kB/s
8.222.229.22,2053,true,SIN,Asia Pacific,Singapore,246 ms,8687 kB/s
47.236.169.141,2053,true,SIN,Asia Pacific,Singapore,238 ms,8680 kB/s
47.236.87.206,2053,true,SIN,Asia Pacific,Singapore,223 ms,8674 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,231 ms,8650 kB/s
8.222.188.56,2053,true,SIN,Asia Pacific,Singapore,237 ms,8648 kB/s
8.219.245.232,2053,true,SIN,Asia Pacific,Singapore,227 ms,8646 kB/s
8.219.60.130,2053,true,SIN,Asia Pacific,Singapore,245 ms,8641 kB/s
154.17.8.153,46998,true,LAX,North America,Los Angeles,165 ms,8620 kB/s
8.219.51.211,2087,true,SIN,Asia Pacific,Singapore,227 ms,8610 kB/s
8.222.162.45,2053,true,SIN,Asia Pacific,Singapore,226 ms,8606 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,241 ms,8572 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,227 ms,8554 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,237 ms,8554 kB/s
8.222.140.185,2053,true,SIN,Asia Pacific,Singapore,239 ms,8548 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,230 ms,8546 kB/s
8.219.253.185,2083,true,HKG,Asia Pacific,Hong Kong,269 ms,8525 kB/s
47.236.147.146,2053,true,SIN,Asia Pacific,Singapore,241 ms,8514 kB/s
8.222.137.166,2053,true,SIN,Asia Pacific,Singapore,235 ms,8498 kB/s
47.236.116.182,2087,true,SIN,Asia Pacific,Singapore,236 ms,8487 kB/s
8.222.182.10,2083,true,HKG,Asia Pacific,Hong Kong,274 ms,8457 kB/s
8.219.249.38,2087,true,SIN,Asia Pacific,Singapore,230 ms,8447 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,234 ms,8436 kB/s
176.119.150.204,2008,true,NRT,Asia Pacific,Tokyo,78 ms,8434 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,235 ms,8432 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,227 ms,8426 kB/s
47.236.7.246,2053,true,SIN,Asia Pacific,Singapore,243 ms,8400 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,72 ms,8389 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,225 ms,8388 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,247 ms,8369 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,236 ms,8354 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,244 ms,8341 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,80 ms,8320 kB/s
8.222.164.44,2053,true,SIN,Asia Pacific,Singapore,244 ms,8313 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,8313 kB/s
47.236.114.167,2083,true,SIN,Asia Pacific,Singapore,229 ms,8307 kB/s
47.236.144.48,2096,true,SIN,Asia Pacific,Singapore,244 ms,8305 kB/s
47.236.149.107,2096,true,SIN,Asia Pacific,Singapore,231 ms,8305 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,228 ms,8301 kB/s
8.222.184.198,2053,true,SIN,Asia Pacific,Singapore,238 ms,8280 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,215 ms,8255 kB/s
8.222.168.24,2083,true,HKG,Asia Pacific,Hong Kong,279 ms,8249 kB/s
102.177.176.22,2083,true,SJC,North America,San Jose,183 ms,8244 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,237 ms,8193 kB/s
8.219.228.186,2083,true,SIN,Asia Pacific,Singapore,235 ms,8170 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,231 ms,8158 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,228 ms,8150 kB/s
47.236.82.218,8443,true,SIN,Asia Pacific,Singapore,231 ms,8144 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,240 ms,8141 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,231 ms,8130 kB/s
47.236.116.208,2053,true,SIN,Asia Pacific,Singapore,236 ms,8123 kB/s
